Train time: 12+ hours

hidden_encode = [4, 8, 16, 32, 64, 64]
        pools_encode = [2, 2, 2, 2, 2, 2]
        pools_decode = [1,1,1,1,1,1]
        hidden_dense = [64, 64]
        n_latent = 64

Creating autoencoder network...
 - C:\Users\Nick\Desktop\Ava\Programs\GameAI\Emulator\data\pacman\network\AUTO_pacman_512_512_3_6_2_64
 - input shape: (?, 512, 512, 3)
 - encode: (?, 256, 256, 4)
 - encode: (?, 128, 128, 8)
 - encode: (?, 64, 64, 16)
 - encode: (?, 32, 32, 32)
 - encode: (?, 16, 16, 64)
 - encode: (?, 8, 8, 64)
 - flat: (?, 4096)
 - latent: (?, 64)
 - dense: (?, 64)
 - dense: (?, 64)
 - dense: (?, 64)
 - reshaped: (?, 8, 8, 1)
 - decode: (?, 8, 8, 64)
 - decode: (?, 8, 8, 64)
 - decode: (?, 8, 8, 32)
 - decode: (?, 8, 8, 16)
 - decode: (?, 8, 8, 8)
 - decode: (?, 8, 8, 4)
 - dense: (?, 786432)
 - output: (?, 786432)
Created AUTO_pacman_512_512_3_6_2_64 network in 15.829691886901855

Training on data with iters
Iter 15600  Loss 2988.30127  IO 2960.35059  KL 64.86238
Iter 15700  Loss 2742.81177  IO 2685.81201  KL 78.21175
Iter 15800  Loss 2362.29199  IO 2297.29297  KL 66.50764
Iter 15900  Loss 2449.84595  IO 2385.87769  KL 61.75758
Iter 16000  Loss 2332.85645  IO 2271.60864  KL 60.78714
Iter 16100  Loss 2431.73999  IO 2368.78906  KL 60.88557
Iter 16200  Loss 2449.73633  IO 2390.70117  KL 60.90604
Iter 16300  Loss 2411.68896  IO 2351.44751  KL 62.47237
Iter 16400  Loss 3041.17041  IO 2959.61182  KL 82.04074
Iter 16500  Loss 2525.48242  IO 2463.54028  KL 67.11839
Iter 16600  Loss 2440.07178  IO 2377.52319  KL 60.26559
Iter 16700  Loss 2436.24170  IO 2375.57471  KL 59.94565
Iter 16800  Loss 2668.19629  IO 2609.66064  KL 59.75328
Iter 16900  Loss 2427.50195  IO 2370.91455  KL 59.61386
Iter 17000  Loss 2487.13550  IO 2429.67944  KL 60.44278
Iter 17100  Loss 2817.99756  IO 2722.59717  KL 82.46170
Iter 17200  Loss 2471.09033  IO 2405.45386  KL 68.09004
Iter 17300  Loss 2260.72388  IO 2204.95923  KL 60.51764
Iter 17400  Loss 2632.45068  IO 2571.03711  KL 60.28458
Iter 17500  Loss 2253.37183  IO 2200.97534  KL 58.83351
Iter 17600  Loss 2312.55273  IO 2253.83789  KL 60.80469
Iter 17700  Loss 2479.24023  IO 2420.60229  KL 60.68427
Iter 17800  Loss 2644.10229  IO 2581.06812  KL 61.59681
Iter 17900  Loss 2553.05811  IO 2489.50439  KL 61.78944
Iter 18000  Loss 2149.09326  IO 2087.51172  KL 62.51431
Iter 18100  Loss 2517.60596  IO 2454.23120  KL 62.99823
Iter 18200  Loss 2823.54785  IO 2770.98633  KL 74.76009
Iter 18300  Loss 2784.25879  IO 2710.10156  KL 66.89273
Iter 18400  Loss 2131.26514  IO 2068.85645  KL 57.89885
Iter 18500  Loss 2160.91553  IO 2101.26025  KL 58.12688
Iter 18600  Loss 2599.41577  IO 2544.35449  KL 57.58961
Iter 18700  Loss 2378.16895  IO 2317.43311  KL 60.08037
Iter 18800  Loss 2565.29712  IO 2492.59619  KL 64.61658
Iter 18900  Loss 2676.56445  IO 2611.07568  KL 71.09288
Iter 19000  Loss 2390.77783  IO 2326.06543  KL 61.12205
Iter 19100  Loss 2368.55957  IO 2311.34863  KL 58.45041
Iter 19200  Loss 2160.55981  IO 2105.25952  KL 57.84589
Iter 19300  Loss 2457.38281  IO 2399.76123  KL 57.55547
Iter 19400  Loss 2633.88452  IO 2574.98242  KL 58.17410
Iter 19500  Loss 2278.76611  IO 2224.26123  KL 57.66132
Iter 19600  Loss 2552.59863  IO 2489.99658  KL 61.47289
Iter 19700  Loss 4405.78613  IO 4418.85986  KL 68.96716
Iter 19800  Loss 2406.51440  IO 2334.85547  KL 76.89093
Iter 19900  Loss 2114.93652  IO 2055.40967  KL 60.70646
Iter 20000  Loss 2298.70020  IO 2239.75952  KL 59.29369
Iter 20100  Loss 2301.65698  IO 2243.48340  KL 57.79868
Iter 20200  Loss 2383.32959  IO 2327.48608  KL 58.16331
Iter 20300  Loss 2186.39307  IO 2130.66772  KL 58.31518
Iter 20400  Loss 2318.00024  IO 2258.94336  KL 60.48806
Iter 20500  Loss 2424.37207  IO 2358.79248  KL 75.24767
Iter 20600  Loss 2350.54834  IO 2287.65674  KL 64.26278
Iter 20700  Loss 2176.56836  IO 2117.59082  KL 56.82649
Iter 20800  Loss 2178.59326  IO 2125.32690  KL 56.37238
Iter 20900  Loss 2326.67236  IO 2269.41772  KL 57.10896
Iter 21000  Loss 2383.41406  IO 2325.68994  KL 57.20679
Iter 21100  Loss 2312.74878  IO 2255.05591  KL 56.24398
Iter 21200  Loss 2213.31348  IO 2156.72607  KL 56.43463
Iter 21300  Loss 2472.22510  IO 2413.49902  KL 72.13025
Iter 21400  Loss 2761.74316  IO 2691.11475  KL 75.23227
Iter 21500  Loss 2463.04370  IO 2407.22900  KL 59.57975
Iter 21600  Loss 2501.80444  IO 2445.98755  KL 57.14798
Iter 21700  Loss 2534.42578  IO 2479.95312  KL 56.83111
Iter 21800  Loss 2206.26367  IO 2147.44287  KL 56.10451
Iter 21900  Loss 2351.01855  IO 2296.56152  KL 56.74398
Iter 22000  Loss 2253.96851  IO 2203.26343  KL 60.12782
Iter 22100  Loss 2217.83887  IO 2160.82617  KL 57.08748
Iter 22200  Loss 2555.43408  IO 2501.37598  KL 55.27809
Iter 22300  Loss 2268.33765  IO 2214.62231  KL 55.49752
